"species","trait","class","pct"
"Allacma gallica","body_shape","cylindrical",0
"Allacma gallica","body_shape","spherical",100
"Allacma gallica","ocelli","1_3",0
"Allacma gallica","ocelli","4_7",0
"Allacma gallica","ocelli","8",100
"Allacma gallica","ocelli","absent",0
"Allacma gallica","pigmentation","absent",0
"Allacma gallica","pigmentation","present",100
"Allacma gallica","reproduction","asexual",0
"Allacma gallica","reproduction","sexual",100
"Allacma gallica","scales","absent",100
"Allacma gallica","scales","present",0
"Arrhopalites caecus","body_shape","cylindrical",0
"Arrhopalites caecus","body_shape","spherical",100
"Arrhopalites caecus","furca","absent",0
"Arrhopalites caecus","furca","present",100
"Arrhopalites caecus","ocelli","1_3",100
"Arrhopalites caecus","ocelli","4_7",0
"Arrhopalites caecus","ocelli","8",0
"Arrhopalites caecus","ocelli","absent",0
"Arrhopalites caecus","pigmentation","absent",50
"Arrhopalites caecus","pigmentation","present",50
"Arrhopalites caecus","reproduction","asexual",100
"Arrhopalites caecus","reproduction","sexual",0
"Arrhopalites caecus","scales","absent",100
"Arrhopalites caecus","scales","present",0
"Arrhopalites pygmaeus","body_shape","cylindrical",0
"Arrhopalites pygmaeus","body_shape","spherical",100
"Arrhopalites pygmaeus","furca","absent",0
"Arrhopalites pygmaeus","furca","present",100
"Arrhopalites pygmaeus","ocelli","1_3",100
"Arrhopalites pygmaeus","ocelli","4_7",0
"Arrhopalites pygmaeus","ocelli","8",0
"Arrhopalites pygmaeus","ocelli","absent",0
"Arrhopalites pygmaeus","pigmentation","absent",50
"Arrhopalites pygmaeus","pigmentation","present",50
"Arrhopalites pygmaeus","reproduction","asexual",100
"Arrhopalites pygmaeus","reproduction","sexual",0
"Arrhopalites pygmaeus","scales","absent",100
"Arrhopalites pygmaeus","scales","present",0
"Bourletiella arvalis","body_shape","cylindrical",0
"Bourletiella arvalis","body_shape","spherical",100
"Bourletiella arvalis","furca","absent",0
"Bourletiella arvalis","furca","present",100
"Bourletiella arvalis","ocelli","1_3",0
"Bourletiella arvalis","ocelli","4_7",0
"Bourletiella arvalis","ocelli","8",100
"Bourletiella arvalis","ocelli","absent",0
"Bourletiella arvalis","pigmentation","absent",0
"Bourletiella arvalis","pigmentation","present",100
"Bourletiella arvalis","post_antennal_organ","absent",100
"Bourletiella arvalis","post_antennal_organ","present",0
"Bourletiella arvalis","reproduction","asexual",0
"Bourletiella arvalis","reproduction","sexual",100
"Bourletiella arvalis","scales","absent",100
"Bourletiella arvalis","scales","present",0
"Bourletiella hortensis","body_shape","cylindrical",0
"Bourletiella hortensis","body_shape","spherical",100
"Bourletiella hortensis","furca","absent",0
"Bourletiella hortensis","furca","present",100
"Bourletiella hortensis","ocelli","1_3",0
"Bourletiella hortensis","ocelli","4_7",0
"Bourletiella hortensis","ocelli","8",100
"Bourletiella hortensis","ocelli","absent",0
"Bourletiella hortensis","pigmentation","absent",0
"Bourletiella hortensis","pigmentation","present",100
"Bourletiella hortensis","post_antennal_organ","absent",100
"Bourletiella hortensis","post_antennal_organ","present",0
"Bourletiella hortensis","reproduction","asexual",0
"Bourletiella hortensis","reproduction","sexual",100
"Bourletiella hortensis","scales","absent",100
"Bourletiella hortensis","scales","present",0
"Brachystomella parvula","body_shape","cylindrical",100
"Brachystomella parvula","body_shape","spherical",0
"Brachystomella parvula","ocelli","1_3",0
"Brachystomella parvula","ocelli","4_7",0
"Brachystomella parvula","ocelli","8",100
"Brachystomella parvula","ocelli","absent",0
