"species","antenna_body_ratio","body_length_mm","pigment_scaled","ocelli_number","furca","reproduction","stratification_scaled","trophic_position","life_form"
"Ceratophysella denticulata",0.11,1.7,1,8,1,1,0.09,"II","epedaphic"
"Desoria violacea",0.25,2.5,1,8,2,1,0.93,"D","epedaphic"
"Dicyrtomina ornata",0.74,2.5,1,8,2,1,0.8,"D","atmobiotic"
"Entomobrya nivalis",0.52,2.2,1,8,2,1,0.73,"I","atmobiotic"
"Folsomia manolachei",0.17,0.9,1,2,2,1,0.69,"D","hemiedaphic"
"Folsomia quadrioculata",0.17,1.7,0.8,2,2,1,0.68,"D","hemiedaphic"
"Frisea mirabilis",0.13,1.6,1,8,1,1,0.41,"II","epedaphic"
"Hypogastrura burkilli",0.13,2.8,1,8,1,1,0.67,"I","epedaphic"
"Isotomiella minor",0.27,1,0,0,2,0,0.65,"I","euedaphic"
"Lepidocyrtus cyaneus",0.38,1.5,1,8,2,1,0.87,"D","epedaphic"
"Lepidocyrtus lanuginosus",0.38,2,0.25,8,2,1,0.74,"I","epedaphic"
"Lepidocyrtus lignorum",0.38,1.7,0.8,8,2,1,1,"I","epedaphic"
"Lepidocyrtus violaceus",0.38,1.5,1,8,2,1,0.87,"I","epedaphic"
"Mesaphorura macrochaeta",0.09,0.7,0,0,0,0.25,0.85,"II","euedaphic"
"Neanura muscorum",0.16,3.3,1,3,0,0.29,0.8,"II","hemiedaphic"
"Orchesella bifasciata",0.74,2.8,1,8,2,1,0.87,"D","atmobiotic"
"Paratullbergia callipygos",0.17,1,0,0,0,0.33,0.18,"II","euedaphic"
"Parisotoma notabilis",0.28,1.1,1,4,2,0.4,0.89,"D","hemiedaphic"
"Pogonognathellus flavescens",1.25,5.7,1,8,1,1,0.54,"D","atmobiotic"
"Protaphorura armata",0.11,2.1,0,0,0,1,0,"I","euedaphic"
"Protaphorura quadriocellata",0.11,2.1,0,0,0,1,0.59,"II","euedaphic"
"Pseudosinella alba",0.34,1,0.17,2,2,1,0.8,"II","hemiedaphic"
"Sminthurinus aureus",0.44,0.9,1,8,2,1,0.8,"D","epedaphic"
"Willemia anophthalma",0.1,0.9,0,0,0,0,0.87,"II","euedaphic"
"Willemia denisi",0.11,0.8,0,0,0,0,0.8,"II","euedaphic"
"Xenyllodes armata",0.07,0.8,1,5,1,0,0.61,"I","hemiedaphic"
