"species","trait","class","pct"
"Allolobophora chlorotica","body_length_mm","100-150",0
"Allolobophora chlorotica","body_length_mm","150-200",0
"Allolobophora chlorotica","body_length_mm","20-50",0
"Allolobophora chlorotica","body_length_mm","200-400",0
"Allolobophora chlorotica","body_length_mm","50-100",100
"Allolobophora chlorotica","body_mass_length_ratio",">15",0
"Allolobophora chlorotica","body_mass_length_ratio","1-7",0
"Allolobophora chlorotica","body_mass_length_ratio","7-15",100
"Allolobophora chlorotica","carbon_pref_mgkg","<20",5
"Allolobophora chlorotica","carbon_pref_mgkg",">60",21
"Allolobophora chlorotica","carbon_pref_mgkg","20-33.3",26
"Allolobophora chlorotica","carbon_pref_mgkg","33.3-60",49
"Allolobophora chlorotica","cocoon_diameter_mm","1-2",0
"Allolobophora chlorotica","cocoon_diameter_mm","2-4",100
"Allolobophora chlorotica","cocoon_diameter_mm","4-6",0
"Allolobophora chlorotica","epithelium","rigid",0
"Allolobophora chlorotica","epithelium","supple",100
"Allolobophora chlorotica","typhlosolis","large_feather",0
"Allolobophora chlorotica","typhlosolis","simple",100
"Allolobophora chlorotica","vertical_distribution_cm",">20",0
"Allolobophora chlorotica","vertical_distribution_cm","0-5",60
"Allolobophora chlorotica","vertical_distribution_cm","5-20",40
"Aporrectodea caliginosa","body_length_mm","100-150",0
"Aporrectodea caliginosa","body_length_mm","150-200",0
"Aporrectodea caliginosa","body_length_mm","20-50",0
"Aporrectodea caliginosa","body_length_mm","200-400",0
"Aporrectodea caliginosa","body_length_mm","50-100",100
"Aporrectodea caliginosa","body_mass_length_ratio",">15",0
"Aporrectodea caliginosa","body_mass_length_ratio","1-7",67
"Aporrectodea caliginosa","body_mass_length_ratio","7-15",33
"Aporrectodea caliginosa","carbon_pref_mgkg","<20",5
"Aporrectodea caliginosa","carbon_pref_mgkg",">60",19
"Aporrectodea caliginosa","carbon_pref_mgkg","20-33.3",30
"Aporrectodea caliginosa","carbon_pref_mgkg","33.3-60",46
"Aporrectodea caliginosa","cocoon_diameter_mm","1-2",0
