enrichment,column,raw_value,tsita_label
betsi_collembola_body_length,betsi_body_length_mm,,Body_length
betsi_collembola_body_length,betsi_body_length_min_mm,,Body_length
betsi_collembola_body_length,betsi_body_length_max_mm,,Body_length
plazi_collembola_body_length,plazi_body_length_mm,,Body_length
plazi_collembola_body_length,plazi_body_length_min_mm,,Body_length
plazi_collembola_body_length,plazi_body_length_max_mm,,Body_length
monograph_collembola_body_length,monograph_body_length_mm,,Body_length
monograph_collembola_body_length,monograph_body_length_min_mm,,Body_length
monograph_collembola_body_length,monograph_body_length_max_mm,,Body_length
ellers_collembola,ellers_body_size_mm,,Body_length
ellers_collembola,ellers_reproduction,,Reproduction_type
ellers_collembola,ellers_reproduction,asexual,Asexual_reproduction
ellers_collembola,ellers_reproduction,sexual,Sexual_reproduction
ellers_collembola,ellers_moisture_pref,,Humidity_preference
ecomorphosis,ecomorphosis,,Ecomorphosis
ecomorphosis,ecomorphosis,TRUE,Ecomorphosis_presence
