"uri","id","prefLabel","top","depth","broader","definition","scopeNote"
"https://ark.cefe.cnrs.fr/ark:/66666/TSITA_GM8XFKMDJD-8","230","Ecological_preference","Ecological_preference",0,,"An individual characteristic that is a response to natural selection caused by environmental factors",
"https://ark.cefe.cnrs.fr/ark:/66666/TSITA_CV5S93SNB4-5","294","Altitude_preference","Ecological_preference",1,"https://ark.cefe.cnrs.fr/ark:/66666/TSITA_GM8XFKMDJD-8","Altitude at which a species can be found; either in meter above sea level or according to  five main altitudinal zones.",
"https://ark.cefe.cnrs.fr/ark:/66666/TSITA_CXHGLD860M-S","253","Habitat","Ecological_preference",1,"https://ark.cefe.cnrs.fr/ark:/66666/TSITA_GM8XFKMDJD-8","Response of species to an area or an environment where the species normally lives or occurs, based on the number of observations (presence or abundance) of the species in this area or environment (e.g. habitats listed  in Corine Land Cover).","categorical"
"https://ark.cefe.cnrs.fr/ark:/66666/TSITA_DH2GDB0G9R-K","289","Humidity_preference","Ecological_preference",1,"https://ark.cefe.cnrs.fr/ark:/66666/TSITA_GM8XFKMDJD-8","Selection of an habitat / microhabitat on the basis of its humidity","categorical"
"https://ark.cefe.cnrs.fr/ark:/66666/TSITA_J6VSN1BR8Q-G","231","Microhabitat","Ecological_preference",1,"https://ark.cefe.cnrs.fr/ark:/66666/TSITA_GM8XFKMDJD-8","Species distribution along an environmental factor describing the microhabitat (smallest part of the environment that constituted their habitat) dimension of its ecological niche. (The free dictionnary)","Categorical"
"https://ark.cefe.cnrs.fr/ark:/66666/TSITA_03KG1X14Q1-R","305","Soil_preference","Ecological_preference",1,"https://ark.cefe.cnrs.fr/ark:/66666/TSITA_GM8XFKMDJD-8","Species distribution along an environmental factor describing the soil dimension of its ecological niche",
"https://ark.cefe.cnrs.fr/ark:/66666/TSITA_59MKNJPXLH-T","271","Agricultural_area","Ecological_preference",2,"https://ark.cefe.cnrs.fr/ark:/66666/TSITA_CXHGLD860M-S","Response of species to agricultural area, based on the number of observations of species living in this habitat","attribute"
"https://ark.cefe.cnrs.fr/ark:/66666/TSITA_R0VHWW15KW-X","304","Altitudinal_distribution","Ecological_preference",2,"https://ark.cefe.cnrs.fr/ark:/66666/TSITA_CV5S93SNB4-5","The value of the distances measurements in the vertical direction between the mean sea level and the points (Maggenti and Maggenti, 2005)","meter above sea level"
"https://ark.cefe.cnrs.fr/ark:/66666/TSITA_SLNCP6SV3T-Q","295","Altitudinal_zone_preference","Ecological_preference",2,"https://ark.cefe.cnrs.fr/ark:/66666/TSITA_CV5S93SNB4-5","Altitudinal gradient can be split into five main zones, used by ecologists under varying names (Troll, Carl (1973))","categorical"
"https://ark.cefe.cnrs.fr/ark:/66666/TSITA_P8PPNP7T6R-F","246","Ant_hill","Ecological_preference",2,"https://ark.cefe.cnrs.fr/ark:/66666/TSITA_J6VSN1BR8Q-G","Response of species to ant hill based on the number of observations of species living in/under this microhabitat","attribute"
